Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-02-13,55.25,55.720001,55.02,55.669998,50.301407,10416400,0
2018-02-14,55.470001,56.700001,55.290001,55.990002,50.590557,14190300,1
2018-02-15,56.360001,56.830002,55.900002,56.580002,51.123661,10294900,2
2018-02-16,56.650002,57.049999,56.34,56.48,51.033306,10151300,3
2018-02-20,56.290001,56.540001,55.830002,55.970001,50.572495,9450900,4
2018-02-21,55.93,56.740002,55.860001,56.099998,50.689953,7851000,5
2018-02-22,55.950001,56.139999,55.259998,55.400002,50.057453,10172400,6
2018-02-23,55.650002,56.150002,54.799999,56.139999,50.726089,11394400,7
2018-02-26,56.419998,57.349998,56.32,57.169998,51.656765,8713800,8
2018-02-27,57.290001,57.639999,56.560001,56.57,51.11462,8821400,9
2018-02-28,56.84,57.919998,56.830002,57.099998,51.593513,11541100,10
2018-03-01,57,57.560001,55.830002,56.169998,50.753197,11127600,11
2018-03-02,55.720001,57.200001,55.68,56.93,51.439907,11555100,12
2018-03-05,56.830002,57.419998,56.68,56.990002,51.494125,7835400,13
2018-03-06,57.25,57.25,56.540001,57.029999,51.53027,8046800,14
2018-03-07,56.619999,57.169998,56.619999,57.029999,51.53027,7044100,15
2018-03-08,57.290001,57.799999,57.130001,57.470001,51.92783,7434700,16
2018-03-09,57.669998,58.630001,57.669998,58.459999,52.822357,9539600,17
2018-03-12,58.669998,59.68,58.48,59.400002,53.671719,10550300,18
2018-03-13,59.700001,60.700001,58.889999,59.049999,53.355457,10411400,19
2018-03-14,59.279999,59.720001,58.709999,58.830002,53.156677,6488500,20
2018-03-15,58.93,60.07,58.82,59.369999,53.644604,7377000,21
2018-03-16,59.380001,59.650002,58.939999,59,53.310287,13030900,22
2018-03-19,58.700001,58.849998,57.799999,58.299999,52.677784,9350600,23
2018-03-20,58.450001,58.98,58.450001,58.66,53.003078,5888400,24
2018-03-21,58.75,59.549999,58.389999,58.470001,52.83139,6569100,25
2018-03-22,58.029999,58.720001,57.75,57.77,52.198895,6846500,26
2018-03-23,57.779999,57.93,56.310001,56.310001,50.879696,9476800,27
2018-03-26,56.959999,58,56.549999,57.799999,52.226006,8444900,28
2018-03-27,58.099998,58.5,57.139999,57.459999,51.918793,7562900,29
2018-03-28,57.5,58.099998,57.220001,57.900002,52.316364,9301900,30
2018-03-29,57.259998,58.139999,56.830002,57.889999,52.307327,12015200,31
2018-04-02,57.52,57.73,55.380001,56.240002,50.816444,16778300,32
2018-04-03,56.549999,58.049999,56.450001,58,52.406723,10908200,33
2018-04-04,57.25,58.970001,57.209999,58.830002,53.156677,7893100,34
2018-04-05,59,59.27,58.860001,59.139999,53.436783,6305100,35
2018-04-06,58.779999,59.139999,58.09,58.34,52.713936,8264500,36
2018-04-09,58.540001,59.369999,58.419998,58.700001,53.039215,8023800,37
2018-04-10,59.110001,59.490002,58.869999,59.41,53.68074,6545000,38
2018-04-11,59.189999,59.709999,59,59.419998,53.689785,5508000,39
